Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,43.680000,43.689999,43.480000,43.549999,42.478596,52600
2018-09-11,43.759998,44.139999,43.680000,44.020000,42.937031,195100
2018-09-12,44.009998,44.540001,43.950001,44.509998,43.414978,263100
2018-09-13,43.549999,44.049999,43.529999,43.599998,42.527363,346800
2018-09-14,42.709999,42.880001,42.259998,42.599998,41.551964,344900
2018-09-17,42.700001,42.889999,42.580002,42.730000,41.678768,146100
2018-09-18,43.520000,44.360001,43.520000,44.119999,43.034569,451700
2018-09-19,44.500000,44.750000,44.320000,44.639999,43.541782,257400
2018-09-20,46.610001,46.849998,45.750000,46.150002,45.014633,989000
2018-09-21,46.389999,46.419998,45.970001,46.209999,45.073154,347900
2018-09-24,46.389999,46.419998,45.770000,45.830002,44.702503,367600
2018-09-25,46.299999,46.299999,45.990002,46.119999,44.985371,213100
2018-09-26,45.450001,46.000000,45.450001,45.720001,44.595211,139300
2018-09-27,45.759998,45.759998,45.299999,45.549999,44.611626,216400
2018-09-28,45.549999,45.700001,45.400002,45.470001,44.533279,170200
2018-10-01,46.049999,46.480000,46.049999,46.360001,45.404942,154100
2018-10-02,46.310001,46.500000,46.099998,46.320000,45.365765,126800
2018-10-03,45.750000,45.750000,45.430000,45.500000,44.562660,125800
2018-10-04,44.930000,45.000000,43.810001,44.200001,43.289440,427300
2018-10-05,45.169998,45.389999,44.830002,45.150002,44.219872,138700
2018-10-08,45.000000,45.230000,44.590000,44.869999,43.945637,160900
2018-10-09,44.180000,44.540001,44.000000,44.400002,43.485321,154400
2018-10-10,44.000000,44.259998,43.099998,43.150002,42.261070,292400
2018-10-11,42.610001,43.279999,42.430000,42.790001,41.908489,493200
2018-10-12,43.759998,44.480000,43.580002,44.099998,43.191498,513000
2018-10-15,43.959999,43.959999,43.450001,43.599998,42.701797,269800
2018-10-16,44.049999,44.580002,44.049999,44.560001,43.642025,226000
2018-10-17,44.299999,44.560001,43.820000,44.099998,43.191498,148900
2018-10-18,44.000000,44.290001,43.299999,43.430000,42.535301,102400
2018-10-19,42.509998,42.509998,41.720001,41.750000,40.889912,442100
2018-10-22,42.290001,42.290001,41.820000,41.930000,41.066204,107600
2018-10-23,41.349998,41.799999,41.080002,41.650002,40.791973,174800
2018-10-24,41.270000,41.270000,40.029999,40.080002,39.254318,265900
2018-10-25,39.810001,40.410000,39.630001,40.180000,39.352257,688500
2018-10-26,38.700001,39.119999,38.419998,38.880001,38.079037,155900
2018-10-29,39.099998,39.099998,37.549999,38.139999,37.354282,590300
2018-10-30,38.349998,38.500000,36.759998,37.400002,36.629528,1046300
2018-10-31,38.509998,39.439999,38.180000,39.130001,38.323887,531200
2018-11-01,39.250000,39.419998,38.820000,39.389999,38.578529,268200
2018-11-02,39.669998,39.759998,38.900002,39.240002,38.431622,154900
2018-11-05,38.759998,38.980000,38.590000,38.709999,37.912537,213400
2018-11-06,38.720001,39.119999,38.720001,38.900002,38.098625,154800
2018-11-07,39.810001,40.369999,39.810001,40.310001,39.479580,178400
2018-11-08,40.919998,41.139999,40.740002,40.830002,39.988865,88600
2018-11-09,39.849998,40.180000,39.700001,40.099998,39.273903,1079800
2018-11-12,39.779999,39.779999,38.900002,38.910000,38.108418,380800
2018-11-13,38.669998,39.119999,38.660000,38.730000,37.932125,209100
2018-11-14,39.110001,39.110001,38.419998,38.669998,37.873360,196500
2018-11-15,38.299999,38.750000,38.110001,38.520000,37.726452,424100
2018-11-16,35.150002,36.299999,34.959999,36.000000,35.258366,611600
2018-11-19,36.779999,36.779999,36.000000,36.139999,35.395481,373000
2018-11-20,34.250000,34.400002,33.900002,33.950001,33.250599,564400
2018-11-21,34.509998,35.029999,34.110001,34.820000,34.102676,545500
2018-11-23,34.950001,35.139999,34.599998,35.029999,34.308350,184800
2018-11-26,36.110001,36.349998,35.939999,36.189999,35.444450,270100
2018-11-27,36.209999,36.209999,35.810001,36.099998,35.356304,182500
2018-11-28,37.099998,37.500000,37.000000,37.500000,36.727467,519000
2018-11-29,38.320000,38.590000,38.270000,38.380001,37.589336,247100
2018-11-30,37.950001,37.950001,37.650002,37.869999,37.089844,307900
2018-12-03,38.500000,38.500000,38.099998,38.400002,37.608925,357400
2018-12-04,36.740002,36.740002,35.709999,35.720001,34.984135,1048300
2018-12-06,35.299999,35.689999,34.680000,35.599998,34.866608,665800
2018-12-07,36.380001,36.500000,35.650002,35.889999,35.150631,275800
2018-12-10,36.189999,36.580002,35.830002,36.299999,35.552185,598900
2018-12-11,36.689999,36.689999,35.590000,35.860001,35.121250,784600
